Name,Album,Artist,Genre,Subgenre,Publish Date,Duration,BPM,Vocal Rage,E2_binary,F2_binary,F♯2_binary,G2_binary,G♯2_binary,A2_binary,A♯2_binary,B2_binary,C3_binary,C♯3_binary,D3_binary,D♯3_binary,E3_binary,F3_binary,F♯3_binary,G3_binary,G♯3_binary,A3_binary,A♯3_binary,B3_binary,C4_binary,C♯4_binary,D4_binary,D♯4_binary,E4_binary,F4_binary,F♯4_binary,G4_binary,G♯4_binary,A4_binary,A♯4_binary,B4_binary,C5_binary,C♯5_binary,D5_binary,D♯5_binary,E5_binary,F5_binary,F♯5_binary,G5_binary,G♯5_binary,A5_binary,A♯5_binary,B5_binary,C6_binary,E2_freq,F2_freq,F♯2_freq,G2_freq,G♯2_freq,A2_freq,A♯2_freq,B2_freq,C3_freq,C♯3_freq,D3_freq,D♯3_freq,E3_freq,F3_freq,F♯3_freq,G3_freq,G♯3_freq,A3_freq,A♯3_freq,B3_freq,C4_freq,C♯4_freq,D4_freq,D♯4_freq,E4_freq,F4_freq,F♯4_freq,G4_freq,G♯4_freq,A4_freq,A♯4_freq,B4_freq,C5_freq,C♯5_freq,D5_freq,D♯5_freq,E5_freq,F5_freq,F♯5_freq,G5_freq,G♯5_freq,A5_freq,A♯5_freq,B5_freq,C6_freq,D1_binary,E1_binary,F1_binary,G1_binary,A1_binary,B1_binary,C♯2_binary,D♯2_binary,C♯6_binary,D1_freq,E1_freq,F1_freq,G1_freq,A1_freq,B1_freq,C♯2_freq,D♯2_freq,C♯6_freq,C1_binary,C♯1_binary,D♯1_binary,F♯1_binary,G♯1_binary,A♯1_binary,C2_binary,D2_binary,D6_binary,D♯6_binary,F6_binary,F♯6_binary,G6_binary,A6_binary,B6_binary,C1_freq,C♯1_freq,D♯1_freq,F♯1_freq,G♯1_freq,A♯1_freq,C2_freq,D2_freq,D6_freq,D♯6_freq,F6_freq,F♯6_freq,G6_freq,A6_freq,B6_freq,E6_binary,G♯6_binary,A♯6_binary,E6_freq,G♯6_freq,A♯6_freq
17さいのうた。 ⧸ 『ユイカ』【MV】,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,74,2,8,2,40,14,82,194,454,1412,2196,1144,688,1054,1346,3970,3128,5112,2752,4654,3040,1550,3784,1702,1476,770,2092,5062,2788,3018,1400,2610,1294,570,1134,206,204,36,72,70,40,44,18,382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,504.0,2.0,2.0,2.0,2.0,2.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,22,70,70,338,832,510,1024,1628,4884,1710,2496,5428,3088,4792,2810,8182,2818,1708,5880,2418,4244,816,962,1212,688,874,376,660,258,76,192,176,130,74,96,32,2,4,4,2,4,4,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,54.0,306.0,4.0,4.0,4.0,14.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,22.0,14.0,8.0,26.0,20.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,842.0,,,,,,
AKB0048_-_Niji_no_Ressha,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,240,34,4,6,6,4,18,96,84,232,346,446,782,1534,974,950,1008,744,1004,1180,3010,4360,2270,4100,3870,2556,3680,504,3230,1646,258,234,64,80,82,146,128,6,2,2,2,2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKB0048_Next_Stage_-_Aruji_Naki_Sono_Koe,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,4,,4,,2,14,512,162,538,168,280,394,126,190,276,1538,2440,944,2066,808,2728,1152,5076,9080,2166,6730,2264,5822,3008,1254,5756,464,908,8,8,4,4,6,4,374,2,,6,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,100.0,1050.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,82.0,8.0,8.0,2.0,2.0,2.0,2.0,,,4.0,2.0,26.0,36.0,,,,,,,,
Akane-Iro_ni_Somaru_Saka_-_Mezamenai_Wish,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14,36,26,20,10,16,22,24,30,106,396,194,336,738,2032,1640,908,3428,1056,868,1172,2892,3926,2464,4218,3456,2064,3100,868,1420,390,622,1816,312,1502,118,198,22,34,280,58,88,32,18,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,168.0,622.0,42.0,6.0,8.0,8.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,36.0,50.0,94.0,28.0,6.0,6.0,4.0,72.0,6.0,6.0,2.0,6.0,8.0,1032.0,0.0,0.0,0.0,4.0,2.0,24.0
Akane-iro_ni_Somaru_Saka_-_Ai_Koko_Kara,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,,2,2,2,2,8,106,24,94,150,146,360,462,1082,330,652,922,720,1352,1654,2398,1802,3072,3900,3938,5016,2422,3952,1756,3340,1270,372,478,184,42,26,6,20,16,72,216,10,130,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,38.0,852.0,4.0,2.0,4.0,2.0,4.0,28.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,2.0,,2.0,58.0,18.0,2.0,,2.0,2.0,420.0,,,,,,
Angel_Beats_-_Alchemy,,,,,,,,,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,4,,4,4,16,20,158,1518,336,314,228,314,546,830,746,950,2114,968,3206,5654,4092,3192,2402,5262,2164,4512,1338,610,1322,210,676,524,278,404,150,142,176,258,528,42,48,54,1244,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,4.0,68.0,928.0,6.0,,2.0,,6.0,2792.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,2.0,,4.0,4.0,2.0,4.0,,,,,,,,,,,,,
Angel_Beats_-_Crow_Song,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,4,2,2,2,4,2,24,258,186,432,1304,384,830,780,1664,788,1112,4130,972,1146,1232,2964,5898,4428,1898,1220,2940,2690,1670,3246,1052,1616,310,1200,1092,178,42,18,38,26,54,176,52,688,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,176.0,2.0,6.0,4.0,2.0,4.0,34.0,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,2.0,,,2.0,2.0,344.0,2.0,,2.0,,,280.0,0.0,0.0,0.0,2.0,2.0,2.0
Angel_Beats_-_Ichiban_no_Takaramono,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56,124,86,68,76,180,570,208,768,422,994,376,322,2066,1690,1890,1488,6942,7248,3180,4456,2354,4402,2026,2316,2030,360,848,2770,5442,3326,1764,2324,322,524,224,86,126,70,102,246,608,524,834,658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,104.0,420.0,40.0,46.0,22.0,32.0,48.0,1712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,224.0,44.0,34.0,78.0,40.0,32.0,30.0,78.0,102.0,2.0,,2.0,,,1380.0,0.0,0.0,0.0,2.0,2.0,2.0
Angel_Beats_-_Ichiban_no_Takaramono_Karuta_Version,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,12,6,6,12,122,832,102,606,142,1008,172,678,1202,430,768,698,3544,2760,1544,3106,1976,5064,2232,2804,7506,1472,1418,3278,8022,3958,2432,4140,1940,1994,400,96,424,94,324,102,154,226,48,718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,182.0,272.0,10.0,8.0,4.0,6.0,8.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,264.0,72.0,120.0,14.0,10.0,12.0,6.0,6.0,48.0,4.0,14.0,4.0,4.0,4.0,1772.0,0.0,0.0,0.0,4.0,2.0,12.0
AnoHana_-_Secret_Base_Kimi_ga_Kureta_Mono_10_Years_After,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,30,8,2,4,2,4,170,300,446,572,1508,254,172,712,254,234,224,524,234,912,5248,1828,5144,1312,5514,16998,1060,7800,1810,9722,798,180,2288,252,196,100,102,128,38,110,40,252,176,92,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,14.0,88.0,268.0,2.0,,2.0,6.0,4.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,50.0,12.0,10.0,8.0,2.0,4.0,2.0,,8.0,8.0,8.0,4.0,16.0,,1334.0,0.0,0.0,0.0,2.0,2.0,4.0
Aoi_Hana_-_Centifolia,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,132,2,2,2,2,46,126,908,294,120,426,518,662,598,664,352,784,896,1532,8598,1140,5252,1074,6064,3272,1028,9242,884,1488,396,988,862,148,118,106,340,136,200,2482,328,576,,,,,,,,,0.0,,,,,,,,,4.0,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,2.0,2.0,2.0,2.0,,2.0,1040.0,,0.0,,,2.0,
Aoi_Hana_-_Centifolia_2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,12,8,8,110,8,4,14,24,124,136,932,402,180,480,500,630,558,668,358,798,872,1406,8808,1134,5062,1018,6096,3320,990,9338,804,1434,330,788,882,116,112,108,358,164,192,2406,296,654,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,44.0,164.0,6.0,6.0,6.0,4.0,4.0,4.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,2.0,6.0,14.0,2.0,,2.0,2.0,926.0,,,,,,
Bakemonogatari-Kimi no Shiranai Monogatari,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,,6,4,12,714,88,116,136,710,1110,606,1512,548,1090,580,900,5816,1112,2388,948,3994,1842,1124,7162,768,2752,604,4378,9908,676,5206,958,6330,1722,170,112,94,38,56,118,586,64,180,22,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4.0,160.0,592.0,4.0,,,2.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,60.0,4.0,18.0,18.0,2.0,2.0,2.0,,,,,,,,,,,,,,
