Name,Album,Artist,Genre,Subgenre,Publish Date,Duration,BPM,Vocal Rage,E2_binary,F2_binary,F♯2_binary,G2_binary,G♯2_binary,A2_binary,A♯2_binary,B2_binary,C3_binary,C♯3_binary,D3_binary,D♯3_binary,E3_binary,F3_binary,F♯3_binary,G3_binary,G♯3_binary,A3_binary,A♯3_binary,B3_binary,C4_binary,C♯4_binary,D4_binary,D♯4_binary,E4_binary,F4_binary,F♯4_binary,G4_binary,G♯4_binary,A4_binary,A♯4_binary,B4_binary,C5_binary,C♯5_binary,D5_binary,D♯5_binary,E5_binary,F5_binary,F♯5_binary,G5_binary,G♯5_binary,A5_binary,A♯5_binary,B5_binary,C6_binary,E2_freq,F2_freq,F♯2_freq,G2_freq,G♯2_freq,A2_freq,A♯2_freq,B2_freq,C3_freq,C♯3_freq,D3_freq,D♯3_freq,E3_freq,F3_freq,F♯3_freq,G3_freq,G♯3_freq,A3_freq,A♯3_freq,B3_freq,C4_freq,C♯4_freq,D4_freq,D♯4_freq,E4_freq,F4_freq,F♯4_freq,G4_freq,G♯4_freq,A4_freq,A♯4_freq,B4_freq,C5_freq,C♯5_freq,D5_freq,D♯5_freq,E5_freq,F5_freq,F♯5_freq,G5_freq,G♯5_freq,A5_freq,A♯5_freq,B5_freq,C6_freq,D1_binary,E1_binary,F1_binary,G1_binary,A1_binary,B1_binary,C♯2_binary,D♯2_binary,C♯6_binary,D1_freq,E1_freq,F1_freq,G1_freq,A1_freq,B1_freq,C♯2_freq,D♯2_freq,C♯6_freq,C1_binary,C♯1_binary,D♯1_binary,F♯1_binary,G♯1_binary,A♯1_binary,C2_binary,D2_binary,D6_binary,D♯6_binary,F6_binary,F♯6_binary,G6_binary,A6_binary,B6_binary,C1_freq,C♯1_freq,D♯1_freq,F♯1_freq,G♯1_freq,A♯1_freq,C2_freq,D2_freq,D6_freq,D♯6_freq,F6_freq,F♯6_freq,G6_freq,A6_freq,B6_freq,E6_binary,G♯6_binary,A♯6_binary,E6_freq,G♯6_freq,A♯6_freq
213,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,22,70,70,338,832,510,1024,1628,4884,1710,2496,5428,3088,4792,2810,8182,2818,1708,5880,2418,4244,816,962,1212,688,874,376,660,258,76,192,176,130,74,96,32,2,4,4,2,4,4,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,54.0,306.0,4.0,4.0,4.0,14.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,22.0,14.0,8.0,26.0,20.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,842.0,,,,,,
RubyTan - วังวน cover _ ( ORIGINAL by ONEONE ),,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,34,34,36,168,258,172,68,202,732,272,166,154,1892,404,814,526,874,966,1092,9794,4776,6104,2076,2598,7414,3346,5434,3802,3186,3940,584,568,98,332,50,242,432,70,304,294,682,238,70,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,188.0,178.0,400.0,14.0,,6.0,6.0,12.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,518.0,106.0,170.0,12.0,4.0,66.0,4.0,6.0,20.0,238.0,2.0,2.0,4.0,,34.0,0.0,,0.0,2.0,,4.0
กรุ่นกลิ่นโปรยลมฝนสาดส่งใส่ความเหงาหอบรักที่ว่างเปล่ามีเพียงแต่เราที่เฉาไป,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,,48,76,32,88,30,26,54,148,144,374,1566,1314,1656,1796,4964,6752,2644,3436,2346,3086,902,1872,3498,1796,1450,376,652,794,62,412,138,106,2,2,2,,2,2,,2,,,2,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,176.0,248.0,394.0,240.0,154.0,26.0,36.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1282.0,194.0,184.0,222.0,374.0,308.0,44.0,38.0,,2.0,2.0,2.0,,,648.0,,0.0,0.0,,2.0,2.0
กล้าพอไหม,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,13,13,9,93,64,34,33,190,508,238,1044,301,618,498,852,3223,727,2218,954,2069,5692,904,5212,648,1870,267,69,101,44,19,26,48,108,18,36,20,58,3,48,14,3,1,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,123.0,13.0,3.0,3.0,3.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.0,52.0,12.0,9.0,16.0,12.0,5.0,6.0,3.0,,1.0,1.0,1.0,,,798.0,,0.0,0.0,,1.0,2.0
ขอบคุณที่รักกัน,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,18,13,8,11,12,35,128,894,584,635,649,1426,2203,650,1217,933,2211,1295,896,2471,452,1071,285,756,2071,341,796,257,591,219,52,11,9,5,6,9,16,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,5.0,7.0,1.0,1.0,1.0,2.0,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,4.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,
ขาหมู,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,10,4,4,4,4,58,110,340,928,1024,2044,2620,1018,2974,1646,2732,2910,2334,3464,1792,4466,2314,3384,2414,390,620,112,118,54,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,398.0,6.0,4.0,4.0,2.0,34.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,6.0,2.0,,2.0,2.0,4.0,2.0,,,,,,,,,,,,,
ข้างกัน,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,116,8,8,6,8,12,6,60,188,1370,264,482,518,2436,2416,988,6690,1106,1010,722,4312,11848,1492,6120,1788,8082,2040,656,3126,164,136,6,4,16,30,34,10,24,2,42,4,2,4,10,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,64.0,634.0,2.0,,2.0,2.0,94.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,2.0,6.0,2.0,2.0,,2.0,,,,,,,,,,,,,
คนไกล,,,,,,,,,0,0,,0,,0,,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,1,1,,1,,1,,1,8,64,244,216,1996,349,2077,530,954,5136,1080,3235,935,1732,811,109,603,112,160,4,5,6,2,5,3,20,5,1,30,1,1,,1,,1,1,1,0.0,0.0,0.0,,,,,,0.0,1.0,21.0,234.0,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,1.0,3.0,1.0,,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,550.0,0.0,0.0,0.0,1.0,1.0,1.0
คนไม่คุย,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,,,,7,2,8,2,5,19,51,183,136,196,1111,482,1270,389,728,2311,1162,4275,1921,2865,475,384,1276,428,570,295,152,516,156,718,214,161,13,13,9,4,11,5,,2,7,33,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,31.0,128.0,1.0,,,1.0,12.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,52.0,6.0,3.0,,1.0,1.0,,245.0,,,,,,,,,,,,,
คิดแต่ไม่ถึง,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2,4,10,4,12,22,184,696,494,1748,984,1864,9642,1672,8310,3630,6954,4730,1752,6942,412,364,166,398,276,98,140,96,146,158,150,478,22,30,82,288,26,12,318,,,,,,,,,0.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
