Name,Album,Artist,Genre,Subgenre,Publish Date,Duration,BPM,Vocal Rage,E2_binary,F2_binary,F♯2_binary,G2_binary,G♯2_binary,A2_binary,A♯2_binary,B2_binary,C3_binary,C♯3_binary,D3_binary,D♯3_binary,E3_binary,F3_binary,F♯3_binary,G3_binary,G♯3_binary,A3_binary,A♯3_binary,B3_binary,C4_binary,C♯4_binary,D4_binary,D♯4_binary,E4_binary,F4_binary,F♯4_binary,G4_binary,G♯4_binary,A4_binary,A♯4_binary,B4_binary,C5_binary,C♯5_binary,D5_binary,D♯5_binary,E5_binary,F5_binary,F♯5_binary,G5_binary,G♯5_binary,A5_binary,A♯5_binary,B5_binary,C6_binary,E2_freq,F2_freq,F♯2_freq,G2_freq,G♯2_freq,A2_freq,A♯2_freq,B2_freq,C3_freq,C♯3_freq,D3_freq,D♯3_freq,E3_freq,F3_freq,F♯3_freq,G3_freq,G♯3_freq,A3_freq,A♯3_freq,B3_freq,C4_freq,C♯4_freq,D4_freq,D♯4_freq,E4_freq,F4_freq,F♯4_freq,G4_freq,G♯4_freq,A4_freq,A♯4_freq,B4_freq,C5_freq,C♯5_freq,D5_freq,D♯5_freq,E5_freq,F5_freq,F♯5_freq,G5_freq,G♯5_freq,A5_freq,A♯5_freq,B5_freq,C6_freq,D1_binary,E1_binary,F1_binary,G1_binary,A1_binary,B1_binary,C♯2_binary,D♯2_binary,C♯6_binary,D1_freq,E1_freq,F1_freq,G1_freq,A1_freq,B1_freq,C♯2_freq,D♯2_freq,C♯6_freq,C1_binary,C♯1_binary,D♯1_binary,F♯1_binary,G♯1_binary,A♯1_binary,C2_binary,D♯6_binary,F6_binary,F♯6_binary,G6_binary,C1_freq,C♯1_freq,D♯1_freq,F♯1_freq,G♯1_freq,A♯1_freq,C2_freq,D♯6_freq,F6_freq,F♯6_freq,G6_freq,D2_binary,D6_binary,E6_binary,G♯6_binary,A6_binary,A♯6_binary,B6_binary,D2_freq,D6_freq,E6_freq,G♯6_freq,A6_freq,A♯6_freq,B6_freq
17さいのうた。 ⧸ 『ユイカ』【MV】,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,37,1,4,1,20,7,41,97,227,706,1098,572,344,527,673,1985,1564,2556,1376,2327,1520,775,1892,851,738,385,1046,2531,1394,1509,700,1305,647,285,567,103,102,18,36,35,20,22,9,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,252.0,1.0,1.0,1.0,1.0,1.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKB0048_-_Niji_no_Ressha,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,120,17,2,3,3,2,9,48,42,116,173,223,391,767,487,475,504,372,502,590,1505,2180,1135,2050,1935,1278,1840,252,1615,823,129,117,32,40,41,73,64,3,1,1,1,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKB0048_Next_Stage_-_Aruji_Naki_Sono_Koe,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,2,,2,,1,7,256,81,269,84,140,197,63,95,138,769,1220,472,1033,404,1364,576,2538,4540,1083,3365,1132,2911,1504,627,2878,232,454,4,4,2,2,3,2,187,1,,3,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,525.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,13.0,18.0,,,,,,,,,,,,,,
Akane-Iro_ni_Somaru_Saka_-_Mezamenai_Wish,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,18,13,10,5,8,11,12,15,53,198,97,168,369,1016,820,454,1714,528,434,586,1446,1963,1232,2109,1728,1032,1550,434,710,195,311,908,156,751,59,99,11,17,140,29,44,16,9,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,84.0,311.0,21.0,3.0,4.0,4.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,18.0,25.0,47.0,14.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,36.0,2.0,1.0,4.0,12.0,516.0
Akane-iro_ni_Somaru_Saka_-_Ai_Koko_Kara,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,1,1,1,4,53,12,47,75,73,180,231,541,165,326,461,360,676,827,1199,901,1536,1950,1969,2508,1211,1976,878,1670,635,186,239,92,21,13,3,10,8,36,108,5,65,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19.0,426.0,2.0,1.0,2.0,1.0,2.0,14.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,1.0,,9.0,1.0,,1.0,0.0,0.0,,,0.0,,0.0,1.0,29.0,,,1.0,,210.0
Angel_Beats_-_Alchemy,,,,,,,,,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,2,,2,2,8,10,79,759,168,157,114,157,273,415,373,475,1057,484,1603,2827,2046,1596,1201,2631,1082,2256,669,305,661,105,338,262,139,202,75,71,88,129,264,21,24,27,622,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,2.0,34.0,464.0,3.0,,1.0,,3.0,1396.0,,,0.0,,0.0,0.0,0.0,,,,,,,1.0,,2.0,2.0,1.0,,,,,0.0,,,,,,,2.0,,,,,,
Angel_Beats_-_Crow_Song,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,2,1,1,1,2,1,12,129,93,216,652,192,415,390,832,394,556,2065,486,573,616,1482,2949,2214,949,610,1470,1345,835,1623,526,808,155,600,546,89,21,9,19,13,27,88,26,344,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,88.0,1.0,3.0,2.0,1.0,2.0,17.0,,,,0.0,,,0.0,0.0,,0.0,,,,,1.0,,,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,172.0,1.0,1.0,,1.0,140.0
Angel_Beats_-_Ichiban_no_Takaramono,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,62,43,34,38,90,285,104,384,211,497,188,161,1033,845,945,744,3471,3624,1590,2228,1177,2201,1013,1158,1015,180,424,1385,2721,1663,882,1162,161,262,112,43,63,35,51,123,304,262,417,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,52.0,210.0,20.0,23.0,11.0,16.0,24.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,112.0,22.0,17.0,39.0,20.0,16.0,15.0,1.0,,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,39.0,51.0,1.0,1.0,,1.0,690.0
Angel_Beats_-_Ichiban_no_Takaramono_Karuta_Version,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,6,3,3,6,61,416,51,303,71,504,86,339,601,215,384,349,1772,1380,772,1553,988,2532,1116,1402,3753,736,709,1639,4011,1979,1216,2070,970,997,200,48,212,47,162,51,77,113,24,359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,91.0,136.0,5.0,4.0,2.0,3.0,4.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,36.0,60.0,7.0,5.0,6.0,3.0,2.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,2.0,1.0,2.0,6.0,886.0
AnoHana_-_Secret_Base_Kimi_ga_Kureta_Mono_10_Years_After,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,15,4,1,2,1,2,85,150,223,286,754,127,86,356,127,117,112,262,117,456,2624,914,2572,656,2757,8499,530,3900,905,4861,399,90,1144,126,98,50,51,64,19,55,20,126,88,46,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,44.0,134.0,1.0,,1.0,3.0,2.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,5.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,8.0,,0.0,0.0,0.0,,0.0,0.0,,4.0,1.0,1.0,,2.0,667.0
Aoi_Hana_-_Centifolia,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,66,1,1,1,1,23,63,454,147,60,213,259,331,299,332,176,392,448,766,4299,570,2626,537,3032,1636,514,4621,442,744,198,494,431,74,59,53,170,68,100,1241,164,288,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,1.0,1.0,1.0,,,0.0,,0.0,0.0,,0.0,,1.0,,1.0,1.0,,520.0
Aoi_Hana_-_Centifolia_2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,6,4,4,55,4,2,7,12,62,68,466,201,90,240,250,315,279,334,179,399,436,703,4404,567,2531,509,3048,1660,495,4669,402,717,165,394,441,58,56,54,179,82,96,1203,148,327,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.0,82.0,3.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,7.0,1.0,,1.0,0.0,0.0,,,0.0,,0.0,1.0,3.0,,,1.0,,463.0
